,lordo_speed,out_speed,volume,gaps,colb,gr,mano,h1,h2,h3,fr_cu_pm_nb,r1_p_b,tool,layers,ff_cf,sin_st,gr_cat
2119,209.6184281842818,192.5390243902439,5300.0,112.0,Q,80.0,1.3,1072.0,812,812,Smooth,,T5,4,CF,singolo,
2219,199.9411533131771,169.66065129755603,7000.0,112.0,Q,80.0,1.3,1072.0,8812,8812,Smooth,,T5,4,CF,singolo,
2319,188.09900734408356,119.67416767225723,5000.0,760.0,Q,54.0,1.1,1350.0,,,Groove,,T5,4,CF,singolo,"(0.0, 56.0]"
2419,167.56305114638448,103.49779541446208,4000.0,160.0,Q,65.0,0.94,1350.0,,,Groove,,T5,4,CF,singolo,"(56.0, 66.0]"
2519,192.82958443949153,155.0544977851479,5000.0,640.0,Q,54.0,1.1,1350.0,,,Groove,,T5,4,CF,singolo,"(0.0, 56.0]"
2719,97.3035613307271,69.80928451128987,1000.0,2160.0,N,50.0,1.17,1200.0,,,Groove,,T5,6,FF,singolo,"(0.0, 56.0]"
3019,195.62965213721944,179.62275292807783,12000.0,192.0,Q,70.0,1.25,1080.0,,,Groove,,T5,4,CF,singolo,"(66.0, 78.0]"
3119,248.04,193.76,1300.0,80.0,Q,54.0,1.1,1350.0,,,Groove,,T5,4,CF,singolo,"(0.0, 56.0]"
3219,306.0,225.3913043478261,2500.0,80.0,Q,70.0,1.25,1350.0,,,Groove,,T5,4,CF,singolo,"(66.0, 78.0]"
3319,154.79617924818146,119.12599130363311,4000.0,840.0,Q,65.0,0.94,1350.0,,,Groove,,T5,4,CF,singolo,"(56.0, 66.0]"
3419,83.15,65.98333333333333,4000.0,48.0,Q,65.0,1.0,810.0,,,Staple,,T5,4,CF,singolo,"(56.0, 66.0]"
3519,139.8095238095238,121.80952380952381,2500.0,48.0,Q,65.0,1.0,810.0,,,Staple,,T5,4,CF,singolo,"(56.0, 66.0]"
3619,121.93548387096773,66.4516129032258,2000.0,48.0,Q,65.0,1.0,810.0,,,Staple,,T5,4,CF,singolo,"(56.0, 66.0]"
3719,112.69848484848485,80.43787878787879,2000.0,64.0,Q,65.0,0.93,1080.0,,,Staple,,T5,4,CF,singolo,"(56.0, 66.0]"
3919,190.9513307342108,178.61209770922025,29000.0,896.0,Q,54.0,1.1,1350.0,1080,1080,Groove,,T5,4,CF,singolo,"(0.0, 56.0]"
4619,178.74258692414296,165.06000098157304,22000.0,1168.0,Q,54.0,1.1,1350.0,1080,1080,Groove,,T5,4,CF,singolo,"(0.0, 56.0]"
4719,322.4571150097466,257.4590643274854,5000.0,1024.0,Q,54.0,1.1,1350.0,1080,1080,Groove,,T5,4,CF,singolo,"(0.0, 56.0]"
9119,103.82335164835165,63.37380952380953,6100.0,96.0,Q,65.0,1.0,940.0,,,Staple,,T5,4,CF,singolo,"(56.0, 66.0]"
9219,177.8741341991342,143.07803030303032,5500.0,160.0,Q,65.0,1.0,1370.0,,,Groove,,T5,4,CF,singolo,"(56.0, 66.0]"
9919,147.32490991763896,124.38751509032747,4000.0,560.0,Q,55.0,1.1,1370.0,,,Groove,,T5,4,CF,singolo,"(0.0, 56.0]"
10519,164.37670304815683,149.47727057670895,6000.0,800.0,Q,65.0,0.94,1350.0,,,Groove,,T5,4,CF,singolo,"(56.0, 66.0]"
10619,179.97657475289054,166.62841485209907,6000.0,320.0,Q,65.0,0.94,1350.0,,,Groove,,T5,4,CF,singolo,"(56.0, 66.0]"
10719,250.73878205128204,218.875,6000.0,120.0,Q,65.0,0.94,1350.0,,,Groove,,T5,4,CF,singolo,"(56.0, 66.0]"
10819,175.81492187293273,129.51620045116562,2000.0,800.0,Q,65.0,0.94,1350.0,,,Groove,,T5,4,CF,singolo,"(56.0, 66.0]"
10919,174.0892565359477,124.59657543572983,2000.0,320.0,Q,65.0,0.94,1350.0,,,Groove,,T5,4,CF,singolo,"(56.0, 66.0]"
11019,214.83333333333331,151.33333333333334,2000.0,120.0,Q,65.0,0.94,1350.0,,,Groove,,T5,4,CF,singolo,"(56.0, 66.0]"
11119,185.51588986457406,151.7266485588854,6000.0,760.0,Q,65.0,0.94,1350.0,,,Groove,,T5,4,CF,singolo,"(56.0, 66.0]"
11219,189.47421990813874,147.09951857418585,6000.0,680.0,Q,65.0,0.94,1350.0,,,Groove,,T5,4,CF,singolo,"(56.0, 66.0]"
